year,layer,length_km,area_m2,width_median
2022,fahrradstrasse,48.225,113579.3,5.0
2023,fahrradstrasse,52.525,123101.269,5.0
2022,gruenflaechen,2968.07,3849068.47,2.5
2023,gruenflaechen,2967.605,3847974.819,2.5
2022,mischverkehr,8949.579,19597900.404,4.0
2023,mischverkehr,8910.926,19541553.26,4.0
2022,radfahrstreifen,531.046,481011.191,1.75
2023,radfahrstreifen,562.419,517804.689,1.8
2022,radweg,3263.439,3048603.955,1.6
2023,radweg,3088.849,2882192.201,1.5
2022,schiebestrecke,282.506,365385.313,2.8
2023,schiebestrecke,295.738,387300.4,3.0
2022,sonstige,609.774,682454.514,2.0
2023,sonstige,625.386,716578.252,2.0
